card,color,cost,creature,scryfall,mtgo,back
Favored Hoplite,W,{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/5/251015ed-9408-4941-894a-158551ed2613.jpg?1562815791,50258,
Hopeful Eidolon,W,{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/c/4c69995b-ef31-4635-8d5a-b31f73993364.jpg?1562817802,50140,
Thraben Inspector,W,{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/1/d140c3b7-ca78-483d-baeb-307b624fea8b.jpg?1576383936,60240,
Topplegeist,W,{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/c/ec9e8653-13ae-446c-b341-85c9b3fa6ca8.jpg?1576383942,59936,
Adorned Pouncer,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/6/865e267d-450c-4eeb-b61d-bd0ec5d8534a.jpg?1562805775,64488,
Anointer Priest,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/f/4f922231-bf41-47d3-8fa3-13b9baf4a0f3.jpg?1543674572,63608,
Hero of Iroas,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/9/7917f2ee-f093-4ffb-83ed-a181b14b5957.jpg?1593091488,51715,
Kithkin Greatheart,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/7/e75283b6-1b70-4e89-bf21-f85c21454aae.jpg?1562372310,28727,
Lone Rider,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/a/9a55b60a-5d90-4f73-984e-53fdcc0366e4.jpg?1576383921,61086,https://c1.scryfall.com/file/scryfall-cards/normal/back/9/a/9a55b60a-5d90-4f73-984e-53fdcc0366e4.jpg?1576383921
Phalanx Leader,W,{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/5/955d5107-5caf-45fc-8c6b-8383bbd220f3.jpg?1562636794,50350,
Seeker of the Way,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/c/3c17e350-44f7-4413-ad24-7c5d6616effd.jpg?1562785152,54270,
Serene Steward,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/0/702f5dd4-4dc7-4e2c-a30b-9286499433d8.jpg?1562921415,58649,
Sightless Brawler,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/e/7e2fcd27-c068-468f-9825-2825c0cf217d.jpg?1593095335,52018,
Soulcatcher,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/4/14d24d2f-699b-46d8-9353-45e6a67f99d2.jpg?1562898941,17031,
"Sram, Senior Edificer",W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1b323e2c-59dd-4d70-9a48-b10f807bb818.jpg?1576381423,62603,
Syndic of Tithes,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/b/2bafaa3b-eeaa-427f-9a73-6a1c98d257ca.jpg?1561820950,47817,
Avian Changeling,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/f/1fe4fba9-5ff4-4e4b-be28-2849fa3c7003.jpg?1561966406,48720,
Bygone Bishop,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/c/7c45198f-fb2b-4c83-abdc-8b1a0071cfed.jpg?1576383693,60212,
Desperate Sentry,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/1/4135c619-fcff-4339-b778-31dd83e68fcb.jpg?1576383828,61504,
Eidolon of Countless Battles,W,{1}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/d/4d16283b-b5bb-48e8-8c97-db5ad74fd544.jpg?1593091389,51717,
Extricator of Sin,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/6/b6867ddd-f953-41c6-ba36-86ae2c14c908.jpg?1576383847,61316,https://c1.scryfall.com/file/scryfall-cards/normal/back/b/6/b6867ddd-f953-41c6-ba36-86ae2c14c908.jpg?1576383847
Fabled Hero,W,{1}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/4/642d9a5c-5697-4747-adce-5a71bcf1c086.jpg?1562819107,50430,
Heliod's Pilgrim,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/a/cafce2f5-f4f4-465b-96dc-bcdd29d4e4bb.jpg?1581479102,79164,
Mardu Hordechief,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/3/23426221-30a8-4be2-9c70-f0eb022edad7.jpg?1562783652,53950,
Pious Evangel,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/a/7ac2a5aa-71c3-482b-9431-5f0b228cf64d.jpg?1576383871,60396,https://c1.scryfall.com/file/scryfall-cards/normal/back/7/a/7ac2a5aa-71c3-482b-9431-5f0b228cf64d.jpg?1576383871
Seller of Songbirds,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/a/2a41edbe-4c5a-4535-a082-235dc3ffe60a.jpg?1562784103,46289,
Vesperlark,W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/2/32776159-3fb6-4a70-be84-837ccd1d54a7.jpg?1562201265,72442,
Ajani's Chosen,W,{2}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/8/583bfbc1-638b-4de5-b865-0b00a69dd073.jpg?1562829522,49539,
Falconer Adept,W,{3}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/b/fb4733e6-6fe2-4460-ac9f-82feb583d790.jpg?1594734928,81263,
Heliod's Emissary,W,{3}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/9/49663acb-582e-495a-b45e-5fc5f4949f22.jpg?1562817630,50484,
Irregular Cohort,W,{2}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/9/2/92c46961-cf1a-4f20-83aa-3d256db2388f.jpg?1562201138,72402,
Meadowboon,W,{2}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/7/a7f7a4e9-08c3-4600-9eb5-03ed01ea0738.jpg?1562880587,29240,
Archon of Redemption,W,{3}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/f/1f7dfcf6-c41b-48d6-a3b4-4b4a7bed82eb.jpg?1562283218,35673,
Celestial Ancient,W,{3}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/1/012fb3a6-99ff-4b5e-96e3-0a2eeca36bdb.jpg?1593272473,24143,
Celestial Gatekeeper,W,{3}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/b/0b4dc1d3-53a1-411b-abf9-f5e4e80edc63.jpg?1562897265,18535,
