card,color,cost,creature,scryfall,mtgo,back
Hero of Precinct One,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/7/87732718-1067-4e5f-a76d-409539c9ef3f.jpg?1584829910,71022,
Soulfire Grand Master,W,{1}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/c/fc3a4e7d-6667-4c2f-b6b4-484f401b0455.jpg?1562831870,55614,
"Sisay, Weatherlight Captain",W,{2}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/a/5a293c45-1e73-4527-be2f-2dcd5c47b610.jpg?1582021363,72430,
Emiel the Blessed,W,{2}{W}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/7/f74dfd07-d17c-4890-82c3-4b12a6029940.jpg?1600714921,81753,
"Kenrith, the Returned King",W,{4}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/6/56c1227e-bea7-47cb-bbec-389a3d585af5.jpg?1571282458,78686,
"Tazri, Beacon of Unity",W,{4}{W},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/4/d4b79138-5728-4541-9ea5-dce1a5ae7e6a.jpg?1604193517,83035,
Condemn,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/f/cfae21b5-aff2-4191-aa42-d756209beaaa.jpg?1562476193,37578,
Path to Exile,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/9/29b7a8b1-b98e-483a-87a4-73bd831c03d4.jpg?1562800119,31733,
Swords to Plowshares,W,{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/e/be2b4177-e47c-4dde-9ead-31b7602065ec.jpg?1604653923,85586,
Declaration in Stone,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/6/f685445d-e2af-455f-b3b2-97cf15362f3c.jpg?1576383718,59878,
Momentary Blink,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/3/032e072a-0630-472b-9106-5df554dff785.jpg?1562895626,25533,
Radiant Purge,W,{1}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/3/c34d94f4-c504-4cf1-9bc7-d318fbee54d7.jpg?1562792688,56242,
Unexpectedly Absent,W,{X}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/b/eb6071cf-76bb-48f0-acbe-27b92558495a.jpg?1580013838,60827,
Council's Judgment,W,{1}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/a/aaa187c9-90b3-4770-963a-8a9f932430ef.jpg?1599706018,82056,
Lingering Souls,W,{2}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/9/891a92d7-9ccf-4de1-8286-aa5254f27ba9.jpg?1562927358,43359,
Oblivion Ring,W,{2}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/e/1e2a73ec-39be-4d23-8c25-17d7c174dcee.jpg?1562551165,45256,
Mythos of Snapdax,W,{2}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/2712a1a3-dd28-44c8-a661-5bcf68d3acaa.jpg?1591230335,80057,
Akroma's Vengeance,W,{4}{W}{W},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/3/83ea781d-0aa1-4ccc-a48b-d4af7e5dfdd5.jpg?1562437577,66920,
Ethersworn Adjudicator,U,{4}{U},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/3/a35a056c-1e38-416b-bf01-2a1762b08020.jpg?1562802804,31719,
Brainstorm,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/a/baeb0421-b7af-44cd-a7f6-7daaa3dcaa38.jpg?1598303782,82122,
Opt,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/3/2/323db259-d35e-467d-9a46-4adcb2fc107c.jpg?1594735602,81345,
Ponder,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/1/81c908ee-e70a-4406-a32d-ab5ab17e67b1.jpg?1562649441,41241,
Preordain,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/3/e3868c3d-4fcd-444b-866f-0f8e50ce7b67.jpg?1562479014,37388,
Serum Visions,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/b/4bc61952-88ba-447a-835a-f1e9643fcd0d.jpg?1562876855,20956,
Sleight of Hand,U,{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/1/d1b72631-d537-46e1-b9b3-618fba8a4c46.jpg?1562742119,22889,
Evasive Action,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/8/d8fad630-bd1c-42df-86b5-cc00da28abfd.jpg?1562935570,35465,
Neutralizing Blast,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/5/e549a8fc-6001-43db-88b1-ce8ed42a3443.jpg?1562830917,55682,
Worldly Counsel,U,{1}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/4/b454cbdc-b2ff-4b6a-acaf-b7cf52359f0b.jpg?1562803244,31675,
Forbidden Alchemy,U,{2}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/b/eb22ae62-6207-4693-87cf-7adf0fc1fe29.jpg?1562839147,42444,
Mystic Retrieval,U,{3}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/8/281a685a-bd02-43bf-8700-2207c65bbbb1.jpg?1562904521,43335,
Mystical Teachings,U,{3}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/0/a057e5f3-b6bd-4995-b990-714201f36989.jpg?1562928838,25589,
Mythos of Illuna,U,{2}{U}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/1/f1b07082-c5a5-4283-a2f5-5b1e0120d752.jpg?1591226392,80125,
Exert Influence,U,{4}{U},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/c/3/c35e9d13-ee4b-42f1-a154-18ab32947ad3.jpg?1562941155,58613,
Murderous Rider // Swift End,B,{1}{B}{B} // {1}{B}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/7/e73d8a84-2c0d-423c-89c7-71de0af9e1ac.jpg?1572490190,78308,
Brutal Hordechief,B,{3}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/b/ab8ec769-99cd-4542-9b4d-61ee41b622bc.jpg?1562828709,55420,
"Tasigur, the Golden Fang",B,{5}{B},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/1/81f93ac5-d149-4ccf-8b99-13ecf3190c29.jpg?1562827104,55338,
Fatal Push,B,{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/5/b5e81649-9954-424c-89d1-f87d73b66047.jpg?1595869185,62689,
Go for the Throat,B,{1}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/c/1c665cfc-7e9a-444b-96b5-e8e4ef57a98a.jpg?1562609972,39447,
Hero's Downfall,B,{1}{B}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/9/596822f6-dbd4-4cc8-aa50-9331ff42544e.jpg?1562818494,50596,
Mythos of Nethroi,B,{2}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/a/6abc24e1-e721-471a-9efd-547f320675b0.jpg?1591226925,80203,
Never // Return,B,{1}{B}{B} // {3}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/4/a4b32135-7061-4278-a01a-4fcbaadc9706.jpg?1549941342,64038,
Painful Truths,B,{2}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/6/46a3afdb-aeb2-4699-91f9-5c42284b3a4a.jpg?1562911570,58545,
Ruinous Path,B,{1}{B}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/0/709ab9cf-eed8-4d73-b10d-c7f6d8750328.jpg?1562921535,58407,
Toxic Deluge,B,{2}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/d/0/d00fa18f-d50a-4d3f-929e-91f29141b1df.jpg?1599706034,82254,
Eat to Extinction,B,{3}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/a/0/a0fae55a-6edd-42ea-b909-ccc39a64a0ed.jpg?1581479739,79304,
Smiting Helix,B,{3}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/5/f/5fa3e132-125a-492f-aab7-c560ea36b779.jpg?1562201744,72590,
Vraska's Contempt,B,{2}{B}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/b/d/bd7550dd-dfc5-43cd-a117-1244ee3086a8.jpg?1562563183,65274,
Unburial Rites,B,{4}{B},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/7/2794c82b-e5ce-4369-894e-bf56c6402ae1.jpg?1562827717,42482,
"Alesha, Who Smiles at Death",R,{2}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/9/09ac9669-d0ee-4df8-af77-12dfccac774f.jpg?1562822284,55456,
"Najeela, the Blade-Blossom",R,{2}{R},1,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/c/2cb1d1da-6077-46b5-8c63-39882b8016f2.jpg?1567181270,68852,
Burst Lightning,R,{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/d/2dc16614-5cf8-444d-a5ae-cac25018af68.jpg?1562610949,34408,
Flame Slash,R,{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/0/006d2bf1-20f7-4b09-8d98-8233d91682bd.jpg?1562700549,36640,
Lightning Bolt,R,{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/e/7/e768c957-3a1f-42f5-853a-96942f645df5.jpg?1562479131,37240,
Abrade,R,{1}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/8/4/84319dfb-eaf7-4b98-8c4f-30f5e779591b.jpg?1562805721,64650,
Desperate Ravings,R,{1}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/2/b/2ba3ab3e-d16c-492f-a860-6d8efcadf679.jpg?1562827914,42642,
Lava Coil,R,{1}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/f/6/f6135cf4-50c2-4e44-b9b0-96e1187a2200.jpg?1572893208,69589,
Roast,R,{1}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/1/b/1ba2e9a8-fcbb-4328-b475-36730182b765.jpg?1562783262,56320,
Tribal Flames,R,{1}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/0/8/08576686-05a9-405a-983a-404c1d400981.jpg?1562771383,26145,
Radiant Flames,R,{2}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/7/0/70f4fe69-c541-4320-9074-9c6a3bc70ea3.jpg?1562921619,58741,
Storm's Wrath,R,{2}{R}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/4/b/4bc9ecd2-7664-471b-90f2-2d0dd1acec80.jpg?1581480444,79438,
Pyroconvergence,R,{4}{R},0,https://c1.scryfall.com/file/scryfall-cards/normal/front/6/c/6cff95b7-79eb-4796-9a01-31ff355681ab.jpg?1562787831,46693,
